"jd","star_name","band","validation_flag","magnitude"
2454876.5118,"AK AND","V","Z",10.86
2454891.5049,"AK AND","V","Z",11.09
2455070.7771,"AK AND","V","Z",16.42
2455081.539,"AK AND","V","Z",16.3
2455081.7608,"AK AND","V","Z",16.55
2455082.503,"AK AND","V","Z",16.15
2455085.493,"AK AND","V","Z",16.28
2455087.5,"AK AND","V","Z",16.32
2455091.7352,"AK AND","V","Z",16.35
2455097.47,"AK AND","V","Z",16.07
2455101.462,"AK AND","V","Z",15.53
2455113.53304,"AK AND","V","Z",14.947
2455116.6794,"AK AND","V","Z",13.94
2455130.6975,"AK AND","V","Z",12.78
2455146.6667,"AK AND","V","Z",11.89
2455154.6283,"AK AND","V","Z",11.29
2455168.38256,"AK AND","V","Z",10.114
2455187.5999,"AK AND","V","Z",10.09
2455218.4884,"AK AND","V","Z",10.86
2455240.4827,"AK AND","V","Z",11.49
2455260.5099,"AK AND","V","Z",12.24
2455261.5094,"AK AND","V","Z",12.29
2455396.662,"AK AND","V","Z",15.04
2455399.651,"AK AND","V","Z",16.69
2455403.8388,"AK AND","V","Z",17.08
2455421.7824,"AK AND","V","Z",16.67
2455425.8314,"AK AND","V","Z",16.8
2455432.7643,"AK AND","V","Z",16.43
2455438.747,"AK AND","V","Z",16.36
2455439.544,"AK AND","V","Z",16.11
2455443.53,"AK AND","V","Z",15.76
2455450.7332,"AK AND","V","Z",15.73
2455459.49,"AK AND","V","Z",15
2455460.485,"AK AND","V","Z",14.73
2455460.7146,"AK AND","V","Z",15.35
2455461.484,"AK AND","V","Z",15.02
2455461.56419,"AK AND","V","Z",15.272
2455465.474,"AK AND","V","Z",14.74
2455480.431,"AK AND","V","Z",13.8
2455481.437,"AK AND","V","Z",13.62
2455482.377,"AK AND","V","Z",13.73
2455492.385,"AK AND","V","Z",12.52
2455495.378,"AK AND","V","Z",12.28
2455515.339,"AK AND","V","Z",11.6
2455516.332,"AK AND","V","Z",11.36
2455790.576,"AK AND","TG","Z",12.57
2455807.531,"AK AND","TG","Z",11.09
2455819.49,"AK AND","TG","Z",10.64
2455828.476,"AK AND","TG","Z",10.51
2455833.46,"AK AND","TG","Z",10.43
2455834.456,"AK AND","TG","Z",10.36
2455855.412,"AK AND","V","Z",10.2
2455881.325,"AK AND","R","Z",9.92
2455884.323,"AK AND","TG","Z",11.21
2455888.347,"AK AND","V","Z",11.13
2455888.35,"AK AND","R","Z",10.14
2455896.6256,"AK AND","V","Z",11.74
2455908.5406,"AK AND","V","Z",12.27
2455913.5398,"AK AND","V","Z",12.52
2455919.5362,"AK AND","V","Z",12.83
2455922.229,"AK AND","TG","Z",12.79
2455942.4845,"AK AND","V","Z",13.8
2455962.5077,"AK AND","V","Z",14.59
2455967.4978,"AK AND","V","Z",14.79
2455977.4965,"AK AND","V","Z",15.16
2456150.585,"AK AND","TG","Z",11.39
2456158.577,"AK AND","TG","Z",11.33
2456161.569,"AK AND","TG","Z",11.28
2456176.514,"AK AND","TG","Z",11.48
2456181.7769,"AK AND","V","Z",11.45
2456184.493,"AK AND","TG","Z",11.54
2456186.487,"AK AND","TG","Z",11.58
2456188.482,"AK AND","TG","Z",11.61
2456189.479,"AK AND","TG","Z",11.57
2456190.477,"AK AND","TG","Z",11.59
2456190.7649,"AK AND","V","Z",11.61
2456200.451,"AK AND","TG","Z",11.82
2456231.367,"AK AND","TG","Z",12.78
2456240.343,"AK AND","TG","Z",12.98
2456242.34,"AK AND","TG","Z",13.03
2456263.289,"AK AND","TG","Z",13.77
2456267.276,"AK AND","TG","Z",13.64
2456272.276,"AK AND","TG","Z",13.74
2456273.267,"AK AND","TG","Z",13.72
2456295.4773,"AK AND","V","Z",14.78
2456310.4736,"AK AND","V","Z",15.25
2456316.4967,"AK AND","V","Z",15.48
2456328.492,"AK AND","V","Z",15.79
2456333.5022,"AK AND","V","Z",15.99
